State,Latitude,Longitude,State,City
AL,32.6010112,-86.6807365,Alabama,ALABAMA
AK,61.3025006,-158.7750198,Alaska,ALASKA
AZ,34.1682185,-111.930907,Arizona,ARIZONA
AR,34.7519275,-92.1313784,Arkansas,ARKANSAS
CA,37.2718745,-119.2704153,California,CALIFORNIA
CO,38.9979339,-105.550567,Colorado,COLORADO
CT,41.5187835,-72.757507,Connecticut,CONNECTICUT
DE,39.145251,-75.4189206,Delaware,DELAWARE
DC,38.8993487,-77.0145666,District of Columbia,DISTRICT OF COLUMBIA
FL,27.9757279,-83.8330166,Florida,FLORIDA
GA,32.6781248,-83.2229757,Georgia,GEORGIA
HI,20.46,-157.505,Hawaii,HAWAII
ID,45.4945756,-114.1424303,Idaho,IDAHO
IL,39.739318,-89.504139,Illinois,ILLINOIS
IN,39.7662195,-86.441277,Indiana,INDIANA
IA,41.9383166,-93.389798,Iowa,IOWA
KS,38.4987789,-98.3200779,Kansas,KANSAS
KY,37.8222935,-85.7682399,Kentucky,KENTUCKY
LA,30.9733766,-91.4299097,Louisiana,LOUISIANA
ME,45.2185133,-69.0148656,Maine,MAINE
MD,38.8063524,-77.2684162,Maryland,MARYLAND
MA,42.0629398,-71.718067,Massachusetts,MASSACHUSETTS
MI,44.9435598,-86.4158049,Michigan,MICHIGAN
MN,46.4418595,-93.3655146,Minnesota,MINNESOTA
MS,32.5851062,-89.8772196,Mississippi,MISSISSIPPI
MO,38.3046615,-92.437099,Missouri,MISSOURI
MT,46.6797995,-110.044783,Montana,MONTANA
NE,41.5008195,-99.680902,Nebraska,NEBRASKA
NV,38.502032,-117.0230604,Nevada,NEVADA
NH,44.0012306,-71.5799231,New Hampshire,NEW HAMPSHIRE
NJ,40.1430058,-74.7311156,New Jersey,NEW JERSEY
NM,34.1662325,-106.0260685,New Mexico,NEW MEXICO
NY,40.7056258,-73.97968,New York,NEW YORK
NC,35.2145629,-79.8912675,North Carolina,NORTH CAROLINA
ND,47.4678819,-100.3022655,North Dakota,NORTH DAKOTA
OH,40.1903624,-82.6692525,Ohio,OHIO
OK,35.3097654,-98.7165585,Oklahoma,OKLAHOMA
OR,44.1419049,-120.5380993,Oregon,OREGON
PA,40.9945928,-77.6046984,Pennsylvania,PENNSYLVANIA
RI,41.5827282,-71.5064508,Rhode Island,RHODE ISLAND
SC,33.62505,-80.9470381,South Carolina,SOUTH CAROLINA
SD,44.2126995,-100.2471641,South Dakota,SOUTH DAKOTA
TN,35.830521,-85.9785989,Tennessee,TENNESSEE
TX,31.1693363,-100.0768425,Texas,TEXAS
UT,39.4997605,-111.547028,Utah,UTAH
VT,43.8717545,-72.4477828,Vermont,VERMONT
VA,38.0033855,-79.4587861,Virginia,VIRGINIA
WA,38.8993487,-77.0145665,Washington,WASHINGTON
WV,38.9201705,-80.1816905,West Virginia,WEST VIRGINIA
WI,44.7862968,-89.8267049,Wisconsin,WISCONSIN
WY,43.000325,-107.5545669,Wyoming,WYOMING
